id,nni,first_name,last_name,full_name,gender,birth_date,phone,email,wilaya_id,wilaya_name,profile_type,kyc_level,status,registration_date,last_login,created_at,updated_at
1,8102289033,Bakary,Thiam,Bakary Thiam,M,1981-04-03,+22246223085,,2,Nouakchott-Ouest,STANDARD,,ACTIVE,2022-02-10,2023-09-17T06:27:58.609Z,2022-02-10T23:07:10.861Z,2023-09-17T06:27:58.609Z
2,8101508597,Ahmed Baba,Ould Horma,Ahmed Baba Ould Horma,M,1981-04-02,+22223958573,ahmedbaba.ouldhorma665@hotmail.fr,1,Nouakchott-Nord,STANDARD,,ACTIVE,2024-05-09,2024-08-10T08:30:49.066Z,2024-05-09T02:13:12.825Z,2024-08-10T08:30:49.066Z
3,9402672314,Bintou,Tall,Bintou Tall,F,1994-09-27,+22224451167,,2,Nouakchott-Ouest,OCCASIONAL,,INACTIVE,2022-01-02,2022-08-23T11:14:33.576Z,2022-01-02T03:08:00.078Z,2022-08-23T11:14:33.576Z
4,8904650338,Adama,Thiam,Adama Thiam,M,1989-08-13,+22225629295,,4,Dakhlet Nouadhibou,ACTIVE,,ACTIVE,2023-08-18,2024-08-09T06:31:59.804Z,2023-08-18T15:43:24.054Z,2024-08-09T06:31:59.804Z
5,8004459303,Leila,Mint Habiboullah,Leila Mint Habiboullah,F,1980-12-08,+22224321406,leila.minthabiboullah612@yahoo.fr,4,Dakhlet Nouadhibou,ACTIVE,,ACTIVE,2023-01-19,2023-10-31T12:25:35.918Z,2023-01-19T13:44:53.142Z,2023-10-31T12:25:35.918Z
6,6901891969,Cheikh Sidiya,Ould Limam,Cheikh Sidiya Ould Limam,M,1969-04-28,+22225299558,,1,Nouakchott-Nord,DORMANT,,ACTIVE,2024-02-07,2024-03-24T02:45:31.289Z,2024-02-07T08:15:17.797Z,2024-03-24T02:45:31.289Z
7,6715896923,Tacko,Doucouré,Tacko Doucouré,F,1967-04-11,+22232494394,tacko.doucouré687@hotmail.fr,15,Tiris Zemmour,STANDARD,,ACTIVE,2022-01-06,2023-01-04T14:02:55.171Z,2022-01-06T01:14:58.335Z,2023-01-04T14:02:55.171Z
8,7003410982,Cheibany,Ould El Mokhtar,Cheibany Ould El Mokhtar,M,1970-09-14,+22224242026,cheibany.ouldelmokhtar915@yahoo.fr,3,Nouakchott-Sud,STANDARD,,PENDING_KYC,2024-01-15,2024-11-12T17:07:14.597Z,2024-01-15T01:08:59.760Z,2024-11-12T17:07:14.597Z
9,8303255387,Wedadi,Barry,Wedadi Barry,M,1983-02-12,+22236631273,,3,Nouakchott-Sud,STANDARD,,ACTIVE,2023-11-18,2024-09-24T00:54:56.014Z,2023-11-18T09:07:40.644Z,2024-09-24T00:54:56.014Z
10,8803165573,Aïda,Koita,Aïda Koita,F,1988-12-20,+22235435519,aïda.koita460@gmail.com,3,Nouakchott-Sud,OCCASIONAL,,ACTIVE,2024-03-13,2024-09-04T13:00:44.635Z,2024-03-13T09:14:38.618Z,2024-09-04T13:00:44.635Z
