id,nni,first_name,last_name,full_name,gender,birth_date,phone,email,wilaya_id,wilaya_name,profile_type,kyc_level,status,registration_date,last_login,created_at,updated_at
1430,0109067395,Oumou,Diallo,Oumou Diallo,F,2001-02-18,+22233916910,oumou.diallo398@gmail.com,9,Assaba,ACTIVE,,ACTIVE,2022-11-08,2023-03-17T06:49:19.743Z,2022-11-08T23:46:31.168Z,2023-03-17T06:49:19.743Z
1431,9909425301,Khady,Niang,Khady Niang,F,1999-06-19,+22225213733,,9,Assaba,STANDARD,,ACTIVE,2024-06-19,2024-07-31T20:25:56.136Z,2024-06-19T04:15:01.090Z,2024-07-31T20:25:56.136Z
1432,8902051926,Maguette,Koita,Maguette Koita,M,1989-01-13,+22224124260,,2,Nouakchott-Ouest,STANDARD,,ACTIVE,2023-08-18,2024-01-21T15:30:47.077Z,2023-08-18T19:31:19.166Z,2024-01-21T15:30:47.077Z
1433,0301043854,Youssouf,Thiam,Youssouf Thiam,M,2003-09-02,+22222337978,,1,Nouakchott-Nord,STANDARD,,ACTIVE,2023-11-21,2024-08-28T17:06:26.701Z,2023-11-21T20:39:07.115Z,2024-08-28T17:06:26.701Z
1434,7304209500,Fatima,Mint Horma,Fatima Mint Horma,F,1973-04-15,+22222731301,fatima.minthorma48@hotmail.fr,4,Dakhlet Nouadhibou,STANDARD,,ACTIVE,2024-03-13,2024-05-19T03:03:49.954Z,2024-03-13T14:37:59.860Z,2024-05-19T03:03:49.954Z
1435,9203891811,Vadel,Ly,Vadel Ly,M,1992-03-08,+22225581228,,3,Nouakchott-Sud,DORMANT,,ACTIVE,2022-09-12,2024-06-18T13:53:43.999Z,2022-09-12T07:34:03.821Z,2024-06-18T13:53:43.999Z
1436,6001040450,Doudou,Sy,Doudou Sy,M,1960-04-21,+22224342168,,1,Nouakchott-Nord,OCCASIONAL,,ACTIVE,2024-09-15,2024-10-30T02:00:32.207Z,2024-09-15T02:10:12.719Z,2024-10-30T02:00:32.207Z
1437,7104307743,Bakary,Diagana,Bakary Diagana,M,1971-11-01,+22222482323,bakary.diagana545@outlook.com,4,Dakhlet Nouadhibou,DORMANT,,ACTIVE,2024-12-06,2024-12-18T07:18:37.384Z,2024-12-06T13:53:13.054Z,2024-12-18T07:18:37.384Z
1438,9801321723,Mokhtar,Bathily,Mokhtar Bathily,M,1998-06-02,+22232163191,,1,Nouakchott-Nord,STANDARD,,ACTIVE,2023-01-07,2023-10-03T21:52:22.235Z,2023-01-07T20:03:52.160Z,2023-10-03T21:52:22.235Z
1439,6301772039,Idrissa,Dieng,Idrissa Dieng,M,1963-06-16,+22244801256,idrissa.dieng741@outlook.com,1,Nouakchott-Nord,ACTIVE,,ACTIVE,2022-03-10,2023-03-09T08:11:30.782Z,2022-03-10T21:01:34.595Z,2023-03-09T08:11:30.782Z
1440,8313451397,Sidi Ahmed,Ould Sidi,Sidi Ahmed Ould Sidi,M,1983-10-11,+22222902198,,13,Tagant,PREMIUM,,ACTIVE,2022-06-19,2024-06-18T05:36:34.292Z,2022-06-19T13:36:30.735Z,2024-06-18T05:36:34.292Z
1441,6101504647,Ibou,Faye,Ibou Faye,M,1961-03-25,+22232029064,ibou.faye402@gmail.com,1,Nouakchott-Nord,STANDARD,,ACTIVE,2024-02-25,2024-09-08T01:39:01.593Z,2024-02-25T01:16:08.352Z,2024-09-08T01:39:01.593Z
1442,8007866623,Bilal,Ould Eleya,Bilal Ould Eleya,M,1980-12-26,+22222346163,,7,Gorgol,OCCASIONAL,,ACTIVE,2022-08-23,2024-01-23T01:50:38.690Z,2022-08-23T01:02:46.479Z,2024-01-23T01:50:38.690Z
1443,7503494349,Mariam,Mint Limam,Mariam Mint Limam,F,1975-04-21,+22237850626,mariam.mintlimam280@yahoo.fr,3,Nouakchott-Sud,OCCASIONAL,,ACTIVE,2023-07-03,2024-11-07T13:48:00.178Z,2023-07-03T03:11:27.783Z,2024-11-07T13:48:00.178Z
1444,6402484648,Saadbouh,Ould Zein,Saadbouh Ould Zein,M,1964-12-13,+22237465879,saadbouh.ouldzein134@hotmail.fr,2,Nouakchott-Ouest,OCCASIONAL,,ACTIVE,2023-12-26,2024-04-06T12:47:27.695Z,2023-12-26T20:18:23.795Z,2024-04-06T12:47:27.695Z
1445,6704430082,Cellou,Sow,Cellou Sow,M,1967-08-07,+22232350783,cellou.sow866@yahoo.fr,4,Dakhlet Nouadhibou,STANDARD,,ACTIVE,2023-09-28,2023-10-21T14:05:06.686Z,2023-09-28T21:42:20.061Z,2023-10-21T14:05:06.686Z
1446,8003643666,El Mokhtar,Niang,El Mokhtar Niang,M,1980-04-27,+22225454071,,3,Nouakchott-Sud,PREMIUM,,ACTIVE,2024-08-12,2024-12-18T08:45:49.125Z,2024-08-12T21:46:33.580Z,2024-12-18T08:45:49.125Z
1447,8704909052,Oumou,Mint Moulaye,Oumou Mint Moulaye,F,1987-04-14,+22224740323,,4,Dakhlet Nouadhibou,DORMANT,,ACTIVE,2022-05-10,2023-08-01T09:03:21.559Z,2022-05-10T12:37:53.855Z,2023-08-01T09:03:21.559Z
1448,6901872283,Habiboullah,Koita,Habiboullah Koita,M,1969-05-20,+22248505716,habiboullah.koita76@hotmail.fr,1,Nouakchott-Nord,ACTIVE,,ACTIVE,2024-10-17,2024-12-16T19:52:15.588Z,2024-10-17T13:57:37.651Z,2024-12-16T19:52:15.588Z
1449,7104812946,Yahya,Ould Saad,Yahya Ould Saad,M,1971-02-01,+22225924067,,4,Dakhlet Nouadhibou,OCCASIONAL,,ACTIVE,2023-05-29,2023-12-18T12:38:47.696Z,2023-05-29T21:04:23.733Z,2023-12-18T12:38:47.696Z
1450,8901516583,Aïda,Mbaye,Aïda Mbaye,F,1989-12-07,+22225880068,,1,Nouakchott-Nord,STANDARD,,ACTIVE,2023-09-11,2024-11-20T20:48:10.188Z,2023-09-11T08:43:13.210Z,2024-11-20T20:48:10.188Z
1451,9901136964,Gaoussou,Gaye,Gaoussou Gaye,M,1999-08-15,+22222328871,,1,Nouakchott-Nord,DORMANT,,PENDING_KYC,2024-11-10,2024-12-02T19:14:38.760Z,2024-11-10T14:36:22.064Z,2024-12-02T19:14:38.760Z
1452,7103377413,Vatma,Ndiaye,Vatma Ndiaye,F,1971-02-27,+22241764406,,3,Nouakchott-Sud,STANDARD,,ACTIVE,2022-04-23,2024-07-03T01:47:48.791Z,2022-04-23T10:08:42.913Z,2024-07-03T01:47:48.791Z
1453,6302366994,Defa,Mint Eleya,Defa Mint Eleya,F,1963-02-10,+22225052443,,2,Nouakchott-Ouest,STANDARD,,ACTIVE,2024-08-12,2024-11-17T02:08:06.489Z,2024-08-12T23:09:38.523Z,2024-11-17T02:08:06.489Z
1454,7001682206,Mohamed Mahmoud,Ould Ahmedou,Mohamed Mahmoud Ould Ahmedou,M,1970-03-07,+22223543513,mohamedmahmoud.ouldahmedou817@hotmail.fr,1,Nouakchott-Nord,STANDARD,,ACTIVE,2023-05-22,2023-09-02T15:04:37.426Z,2023-05-22T04:24:21.758Z,2023-09-02T15:04:37.426Z
1455,0502405219,Yahya,Ould Ghali,Yahya Ould Ghali,M,2005-06-14,+22242411125,,2,Nouakchott-Ouest,ACTIVE,,ACTIVE,2024-04-05,2024-08-01T15:45:46.540Z,2024-04-05T05:06:22.185Z,2024-08-01T15:45:46.540Z
1456,9909421936,Fatou,Cissé,Fatou Cissé,F,1999-06-10,+22222536313,,9,Assaba,OCCASIONAL,,ACTIVE,2022-02-23,2023-06-05T05:00:36.884Z,2022-02-23T11:18:23.431Z,2023-06-05T05:00:36.884Z
1457,9702020202,Messoud,Ould Cheikh,Messoud Ould Cheikh,M,1997-07-20,+22225611975,,2,Nouakchott-Ouest,OCCASIONAL,,ACTIVE,2024-08-05,2024-08-09T07:13:52.851Z,2024-08-05T02:21:40.664Z,2024-08-09T07:13:52.851Z
1458,7202072594,Isselmou,Ould Hamoud,Isselmou Ould Hamoud,M,1972-11-09,+22233970039,,2,Nouakchott-Ouest,DORMANT,,ACTIVE,2023-10-13,2024-06-14T21:39:12.466Z,2023-10-13T11:31:43.678Z,2024-06-14T21:39:12.466Z
1459,8208913483,Souleymane,Tall,Souleymane Tall,M,1982-01-16,+22224720861,,8,Guidimaka,STANDARD,,ACTIVE,2024-12-16,2024-12-24T13:08:26.357Z,2024-12-16T17:14:17.382Z,2024-12-24T13:08:26.357Z
1460,8715501838,Khadija,Tall,Khadija Tall,F,1987-01-06,+22235095348,khadija.tall858@yahoo.fr,15,Tiris Zemmour,ACTIVE,,ACTIVE,2022-09-03,2022-10-09T01:49:44.680Z,2022-09-03T21:37:31.293Z,2022-10-09T01:49:44.680Z
1461,7007330291,Yacoub,Sarr,Yacoub Sarr,M,1970-12-03,+22243352094,,7,Gorgol,ACTIVE,,PENDING_KYC,2022-06-05,2024-12-23T18:47:05.469Z,2022-06-05T09:10:39.019Z,2024-12-23T18:47:05.469Z
1462,0301806356,Zein,Ould Eleya,Zein Ould Eleya,M,2003-01-18,+22232012306,zein.ouldeleya533@yahoo.fr,1,Nouakchott-Nord,ACTIVE,,ACTIVE,2024-12-21,2024-12-23T13:05:01.596Z,2024-12-21T15:36:53.651Z,2024-12-23T13:05:01.596Z
1463,6102082548,Codou,Mbow,Codou Mbow,F,1961-05-27,+22224388794,,2,Nouakchott-Ouest,ACTIVE,,SUSPENDED,2023-06-19,2024-12-26T15:09:14.394Z,2023-06-19T06:57:19.713Z,2024-12-26T15:09:14.394Z
1464,6402714374,Salka,Mint Jiddou,Salka Mint Jiddou,F,1964-03-14,+22235817123,,2,Nouakchott-Ouest,STANDARD,,ACTIVE,2024-01-17,2024-12-30T21:51:24.989Z,2024-01-17T06:40:29.815Z,2024-12-30T21:51:24.989Z
1465,9203088022,Vatma,Mint El Hacen,Vatma Mint El Hacen,F,1992-09-13,+22242101632,vatma.mintelhacen921@hotmail.fr,3,Nouakchott-Sud,STANDARD,,ACTIVE,2024-05-07,2024-08-03T23:24:06.076Z,2024-05-07T15:51:00.214Z,2024-08-03T23:24:06.076Z
1466,6915902732,Sidi,Thiaw,Sidi Thiaw,M,1969-02-17,+22223573352,,15,Tiris Zemmour,STANDARD,,ACTIVE,2023-05-03,2024-11-13T21:52:13.291Z,2023-05-03T14:27:19.310Z,2024-11-13T21:52:13.291Z
1467,6309364933,Ethmane,Faye,Ethmane Faye,M,1963-07-22,+22237033971,ethmane.faye332@outlook.com,9,Assaba,OCCASIONAL,,ACTIVE,2023-10-19,2023-11-29T09:39:19.723Z,2023-10-19T10:06:03.939Z,2023-11-29T09:39:19.723Z
